id,year,subject,field,original,detected,proposed,type,confidence,plan_status,apply,reviewer_note
730,2007,Pathomorphology,topic,Tuberculosis. MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY,Tuberculosis. MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY,Tuberculosis.,KNOWN_LEXICAL_TYPO,HIGH,AUTO_APPROVED,YES,Approved SOURCE_CONTAMINATION topic removal
733,2007,Pathomorphology,topic,Diseases of the respiratory system. MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY,system. MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY,Diseases of the respiratory system.,KNOWN_LEXICAL_TYPO,HIGH,AUTO_APPROVED,YES,Approved SOURCE_CONTAMINATION topic removal
739,2007,Pathomorphology,topic,General doctrine of inflammation. Exudative inflammation. The morphology of exudative inflammation MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY,inflammation MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY,General doctrine of inflammation. Exudative inflammation. The morphology of exudative inflammation,KNOWN_LEXICAL_TYPO,HIGH,AUTO_APPROVED,YES,Approved SOURCE_CONTAMINATION topic removal
1718,2007,Anatomy,topic,Digestive system. MSQ Крок 1 Medicine 2007-2021 - NORMAL ANATOMY,system. MSQ Крок 1 Medicine 2007-2021 - NORMAL ANATOMY,Digestive system.,KNOWN_LEXICAL_TYPO,HIGH,AUTO_APPROVED,YES,Approved SOURCE_CONTAMINATION topic removal
1725,2007,Anatomy,topic,Sensory organs. MSQ Крок 1 Medicine 2007-2021 - NORMAL ANATOMY,organs. MSQ Крок 1 Medicine 2007-2021 - NORMAL ANATOMY,Sensory organs.,KNOWN_LEXICAL_TYPO,HIGH,AUTO_APPROVED,YES,Approved SOURCE_CONTAMINATION topic removal
1732,2007,Anatomy,topic,Sensory organs. MSQ Крок 1 Medicine 2007-2021 - NORMAL ANATOMY,organs. MSQ Крок 1 Medicine 2007-2021 - NORMAL ANATOMY,Sensory organs.,KNOWN_LEXICAL_TYPO,HIGH,AUTO_APPROVED,YES,Approved SOURCE_CONTAMINATION topic removal
702,2008,Pathomorphology,topic,Kidney Disease. MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY,Disease. MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY,Kidney Disease.,KNOWN_LEXICAL_TYPO,HIGH,AUTO_APPROVED,YES,Approved SOURCE_CONTAMINATION topic removal
1701,2008,Anatomy,topic,Sensory organs. MSQ Крок 1 Medicine 2007-2021 - NORMAL ANATOMY,organs. MSQ Крок 1 Medicine 2007-2021 - NORMAL ANATOMY,Sensory organs.,KNOWN_LEXICAL_TYPO,HIGH,AUTO_APPROVED,YES,Approved SOURCE_CONTAMINATION topic removal
2712,2008,Biochemistry,topic,"Transamination and ammonia coversion Крок 2 Medicine (англомовний варiант, iноземнi студенти) 2017-2007 - BIOCHEMISTRY","coversion Крок 2 Medicine (англомовний варiант, iноземнi студенти) 2017-2007 - BIOCHEMISTRY",Transamination and ammonia coversion,KNOWN_LEXICAL_TYPO,HIGH,AUTO_APPROVED,YES,Approved SOURCE_CONTAMINATION topic removal
2722,2008,Biochemistry,topic,"Characteristics and intracellular lipid metabolism Крок 2 Medicine (англомовний варiант, iноземнi студенти) 2017-2007 - BIOCHEMISTRY","metabolism Крок 2 Medicine (англомовний варiант, iноземнi студенти) 2017-2007 - BIOCHEMISTRY",Characteristics and intracellular lipid metabolism,KNOWN_LEXICAL_TYPO,HIGH,AUTO_APPROVED,YES,Approved SOURCE_CONTAMINATION topic removal
677,2009,Pathomorphology,topic,Leukemias (leukemia) and lymphomas. MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY,lymphomas. MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY,Leukemias (leukemia) and lymphomas.,KNOWN_LEXICAL_TYPO,HIGH,AUTO_APPROVED,YES,Approved SOURCE_CONTAMINATION topic removal
680,2009,Pathomorphology,topic,For pituitary disease. Diabetes mellitus. Diseases of the thyroid gland. Diseases of the adrenal glands. MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY,glands. MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY,For pituitary disease. Diabetes mellitus. Diseases of the thyroid gland. Diseases of the adrenal glands.,KNOWN_LEXICAL_TYPO,HIGH,AUTO_APPROVED,YES,Approved SOURCE_CONTAMINATION topic removal
742,2010,Pathomorphology,topic,Kidney Disease. MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY,Disease. MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY,Kidney Disease.,KNOWN_LEXICAL_TYPO,HIGH,AUTO_APPROVED,YES,Approved SOURCE_CONTAMINATION topic removal
745,2010,Pathomorphology,topic,Pathomorphology of the immune system. Reactions and mechanisms of hypersensitivity. The autoimmune disease. Immunodeficiency States. MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY,States. MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY,Pathomorphology of the immune system. Reactions and mechanisms of hypersensitivity. The autoimmune disease. Immunodeficiency States.,KNOWN_LEXICAL_TYPO,HIGH,AUTO_APPROVED,YES,Approved SOURCE_CONTAMINATION topic removal
758,2010,Pathomorphology,topic,Pre - & perinatal pathology. MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY,pathology. MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY,Pre - & perinatal pathology.,KNOWN_LEXICAL_TYPO,HIGH,AUTO_APPROVED,YES,Approved SOURCE_CONTAMINATION topic removal
1750,2010,Anatomy,topic,Respiratory system. MSQ Крок 1 Medicine 2007-2021 - NORMAL ANATOMY,system. MSQ Крок 1 Medicine 2007-2021 - NORMAL ANATOMY,Respiratory system.,KNOWN_LEXICAL_TYPO,HIGH,AUTO_APPROVED,YES,Approved SOURCE_CONTAMINATION topic removal
2770,2010,Biochemistry,topic,"Nutrition biochemistry and vitamins fundamental Крок 2 Medicine (англомовний варiант, iноземнi студенти) 2017-2007 - BIOCHEMISTRY","fundamental Крок 2 Medicine (англомовний варiант, iноземнi студенти) 2017-2007 - BIOCHEMISTRY",Nutrition biochemistry and vitamins fundamental,KNOWN_LEXICAL_TYPO,HIGH,AUTO_APPROVED,YES,Approved SOURCE_CONTAMINATION topic removal
1683,2011,Anatomy,topic,Cranial nerves MSQ Крок 1 Medicine 2007-2021 - NORMAL ANATOMY,nerves MSQ Крок 1 Medicine 2007-2021 - NORMAL ANATOMY,Cranial nerves,KNOWN_LEXICAL_TYPO,HIGH,AUTO_APPROVED,YES,Approved SOURCE_CONTAMINATION topic removal
2647,2011,Biochemistry,topic,"Functional and clinical biochemistry of muscle, nervous and connective tissues Крок 2 Medicine (англомовний варiант, iноземнi студенти) 2017-2007 - BIOCHEMISTRY","tissues Крок 2 Medicine (англомовний варiант, iноземнi студенти) 2017-2007 - BIOCHEMISTRY","Functional and clinical biochemistry of muscle, nervous and connective tissues",KNOWN_LEXICAL_TYPO,HIGH,AUTO_APPROVED,YES,Approved SOURCE_CONTAMINATION topic removal
2661,2011,Biochemistry,topic,"Nucleic acid metabolism. Protein synthesis Крок 2 Medicine (англомовний варiант, iноземнi студенти) 2017-2007 - BIOCHEMISTRY","synthesis Крок 2 Medicine (англомовний варiант, iноземнi студенти) 2017-2007 - BIOCHEMISTRY",Nucleic acid metabolism. Protein synthesis,KNOWN_LEXICAL_TYPO,HIGH,AUTO_APPROVED,YES,Approved SOURCE_CONTAMINATION topic removal
2668,2011,Biochemistry,topic,"The mechanism of tissue respiration. Peroxide and microsomal oxidation Крок 2 Medicine (англомовний варiант, iноземнi студенти) 2017-2007 - BIOCHEMISTRY","oxidation Крок 2 Medicine (англомовний варiант, iноземнi студенти) 2017-2007 - BIOCHEMISTRY",The mechanism of tissue respiration. Peroxide and microsomal oxidation,KNOWN_LEXICAL_TYPO,HIGH,AUTO_APPROVED,YES,Approved SOURCE_CONTAMINATION topic removal
623,2012,Pathomorphology,topic,Processes of adaptation and compensation. MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY,compensation. MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY,Processes of adaptation and compensation.,KNOWN_LEXICAL_TYPO,HIGH,AUTO_APPROVED,YES,Approved SOURCE_CONTAMINATION topic removal
633,2012,Pathomorphology,topic,"Circulatory disorders: hyperemia, ischemia, infarction, hemorrhage, hemorrhage, stasis, plasturgie. Shock. Violation of lymph circulation. MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY",circulation. MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY,"Circulatory disorders: hyperemia, ischemia, infarction, hemorrhage, hemorrhage, stasis, plasturgie. Shock. Violation of lymph circulation.",KNOWN_LEXICAL_TYPO,HIGH,AUTO_APPROVED,YES,Approved SOURCE_CONTAMINATION topic removal
636,2012,Pathomorphology,topic,"Circulatory disorders: hyperemia, ischemia, infarction, hemorrhage, hemorrhage, stasis, plasturgie. Shock. Violation of lymph circulation. MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY",circulation. MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY,"Circulatory disorders: hyperemia, ischemia, infarction, hemorrhage, hemorrhage, stasis, plasturgie. Shock. Violation of lymph circulation.",KNOWN_LEXICAL_TYPO,HIGH,AUTO_APPROVED,YES,Approved SOURCE_CONTAMINATION topic removal
639,2012,Pathomorphology,topic,The General doctrine about the tumors. Morphological features of tumor tissues derived mesenchyme. MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY,mesenchyme. MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY,The General doctrine about the tumors. Morphological features of tumor tissues derived mesenchyme.,KNOWN_LEXICAL_TYPO,HIGH,AUTO_APPROVED,YES,Approved SOURCE_CONTAMINATION topic removal
642,2012,Pathomorphology,topic,Infectious and parasitic diseases. Characterization of the infectious process. Intestinal infectious diseases. MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY,diseases. MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY,Infectious and parasitic diseases. Characterization of the infectious process. Intestinal infectious diseases.,KNOWN_LEXICAL_TYPO,HIGH,AUTO_APPROVED,YES,Approved SOURCE_CONTAMINATION topic removal
645,2012,Pathomorphology,topic,Kidney Disease MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY,Disease MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY,Kidney Disease,KNOWN_LEXICAL_TYPO,HIGH,AUTO_APPROVED,YES,Approved SOURCE_CONTAMINATION topic removal
648,2012,Pathomorphology,topic,Processes of adaptation and compensation MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY,compensation MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY,Processes of adaptation and compensation,KNOWN_LEXICAL_TYPO,HIGH,AUTO_APPROVED,YES,Approved SOURCE_CONTAMINATION topic removal
1644,2012,Anatomy,topic,Sensory organs. MSQ Крок 1 Medicine 2007-2021 - NORMAL ANATOMY,organs. MSQ Крок 1 Medicine 2007-2021 - NORMAL ANATOMY,Sensory organs.,KNOWN_LEXICAL_TYPO,HIGH,AUTO_APPROVED,YES,Approved SOURCE_CONTAMINATION topic removal
1651,2012,Anatomy,topic,Heart. Vascular system. MSQ Крок 1 Medicine 2007-2021 - NORMAL ANATOMY,system. MSQ Крок 1 Medicine 2007-2021 - NORMAL ANATOMY,Heart. Vascular system.,KNOWN_LEXICAL_TYPO,HIGH,AUTO_APPROVED,YES,Approved SOURCE_CONTAMINATION topic removal
2626,2012,Biochemistry,topic,"Specific ways of amino acids metabolism Крок 2 Medicine (англомовний варiант, iноземнi студенти) 2017-2007 - BIOCHEMISTRY","metabolism Крок 2 Medicine (англомовний варiант, iноземнi студенти) 2017-2007 - BIOCHEMISTRY",Specific ways of amino acids metabolism,KNOWN_LEXICAL_TYPO,HIGH,AUTO_APPROVED,YES,Approved SOURCE_CONTAMINATION topic removal
1637,2013,Anatomy,topic,Urogenital system. MSQ Крок 1 Medicine 2007-2021 - NORMAL ANATOMY,system. MSQ Крок 1 Medicine 2007-2021 - NORMAL ANATOMY,Urogenital system.,KNOWN_LEXICAL_TYPO,HIGH,AUTO_APPROVED,YES,Approved SOURCE_CONTAMINATION topic removal
2612,2013,Biochemistry,topic,"Nutrition biochemistry and vitamins fundamental Крок 2 Medicine (англомовний варiант, iноземнi студенти) 2017-2007 - BIOCHEMISTRY","fundamental Крок 2 Medicine (англомовний варiант, iноземнi студенти) 2017-2007 - BIOCHEMISTRY",Nutrition biochemistry and vitamins fundamental,KNOWN_LEXICAL_TYPO,HIGH,AUTO_APPROVED,YES,Approved SOURCE_CONTAMINATION topic removal
588,2014,Pathomorphology,topic,Nomenclature and morphological features of tumors from epithelium. MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY,epithelium. MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY,Nomenclature and morphological features of tumors from epithelium.,KNOWN_LEXICAL_TYPO,HIGH,AUTO_APPROVED,YES,Approved SOURCE_CONTAMINATION topic removal
594,2014,Pathomorphology,topic,Diseases of the female and male reproductive system. MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY,system. MSQ Крок 1 Medicine 2007-2021-PATHOMORPHOLOGY,Diseases of the female and male reproductive system.,KNOWN_LEXICAL_TYPO,HIGH,AUTO_APPROVED,YES,Approved SOURCE_CONTAMINATION topic removal
1608,2014,Anatomy,topic,Heart. Vascular system. MSQ Крок 1 Medicine 2007-2021 - NORMAL ANATOMY,system. MSQ Крок 1 Medicine 2007-2021 - NORMAL ANATOMY,Heart. Vascular system.,KNOWN_LEXICAL_TYPO,HIGH,AUTO_APPROVED,YES,Approved SOURCE_CONTAMINATION topic removal
