priority,source_layer,id,year,subject,field,original,detected,occurrences,proposed,category,type,confidence,note,approval_status,reviewer_note
1,LAYER_1,1009,2011,Normal Phisiology,answer_5,-,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,1013,2011,Normal Phisiology,answer_5,-,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,1042,2009,Normal Phisiology,answer_5,–,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,1065,2008,Normal Phisiology,answer_5,-,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,107,2015,Pathophysiology,answer_5,-,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,1070,2008,Normal Phisiology,answer_5,-,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,1075,2008,Normal Phisiology,answer_5,-,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,1092,2007,Normal Phisiology,answer_5,-,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,1100,2007,Normal Phisiology,answer_5,-,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,1106,2010,Normal Phisiology,answer_5,–,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,1126,2018,Normal Phisiology,answer_5,-,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,1132,2018,Normal Phisiology,answer_5,-,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,1140,2019,Normal Phisiology,answer_3,-,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,116,2015,Pathophysiology,answer_5,-,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,1160,2019,Normal Phisiology,answer_4,-,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,1228,2023,Microbiology,answer_5,-,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,131,2014,Pathophysiology,answer_5,–,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,1376,2009,Microbiology,answer_5,–,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,1378,2009,Microbiology,answer_5,-,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,138,2014,Pathophysiology,answer_5,-,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,1396,2008,Microbiology,answer_5,-,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,1421,2010,Microbiology,answer_5,-,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,145,2014,Pathophysiology,answer_5,–,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,151,2014,Pathophysiology,answer_5,-,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,1571,2016,Anatomy,answer_5,-,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,1585,2015,Anatomy,answer_5,-,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,1637,2013,Anatomy,answer_5,–,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,165,2013,Pathophysiology,answer_5,–,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,1682,2011,Anatomy,answer_5,–,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,1713,2008,Anatomy,answer_5,-,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,1807,2020,Anatomy,answer_5,-,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
1,LAYER_1,1879,2016,Pharmacology,answer_5,-,,1,,MEDICAL REVIEW,EMPTY_OR_PLACEHOLDER_OPTION,HIGH,Answer option appears to contain only a dash.,PENDING,
