token,status,proposed,note
a-adrcnergic,REVIEW,,Context reviewed; source verification required before normalization.
abcesses,REVIEW,,Context reviewed; source verification required before normalization.
absorbtion,REVIEW,,Context reviewed; source verification required before normalization.
accomodative,REVIEW,,Context reviewed; source verification required before normalization.
acctyltransferase,REVIEW,,Context reviewed; source verification required before normalization.
accumulati-on,REVIEW,,Unrecognized lexical token; verify against source
acetylsalicilic,REVIEW,,Context reviewed; source verification required before normalization.
acetylsalicinic,REVIEW,,Context reviewed; source verification required before normalization.
achyphylaxis,REVIEW,,Context reviewed; source verification required before normalization.
acialis,REVIEW,,Context reviewed; source verification required before normalization.
acid-bace,LIKELY_TYPO,acid-base,Probable spelling error
acidbase,REVIEW,,Unrecognized lexical token; verify against source
acidogenesis,REVIEW,,Context reviewed; source verification required before normalization
acidrains,REVIEW,,Context reviewed; source verification required before normalization.
acines,REVIEW,,Context reviewed; source verification required before normalization.
activityof,REVIEW,,Context reviewed; source verification required before normalization.
activty,REVIEW,,Context reviewed; source verification required before normalization.
actrapid,REVIEW,,Context reviewed; source verification required before normalization.
aculomotorius,REVIEW,,Context reviewed; source verification required before normalization.
addison,REVIEW,,Unrecognized lexical token; verify against source
addison-biermer,REVIEW,,Context reviewed; source verification required before normalization
admini-stered,LIKELY_TYPO,administered,Probable PDF hyphenation artifact
admini-stering,REVIEW,administering,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
admistered,REVIEW,,Context reviewed; source verification required before normalization.
admitetd,REVIEW,,Context reviewed; source verification required before normalization.
adolescaria,REVIEW,,Context reviewed; source verification required before normalization.
adrcncrgic,REVIEW,,Context reviewed; source verification required before normalization.
adrenalglands,REVIEW,,Context reviewed; source verification required before normalization.
adrenergc,REVIEW,,Context reviewed; source verification required before normalization.
adrenergicblockers,REVIEW,,Context reviewed; source verification required before normalization.
adrenoblocker,REVIEW,,Context reviewed; source verification required before normalization.
adrenoceptors,REVIEW,,Context reviewed; source verification required before normalization.
adrenomimetics,REVIEW,,Context reviewed; source verification required before normalization.
adrenoreceptors,VALID,,Valid medical term
advi-sable,REVIEW,advisable,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
adynamy,REVIEW,,Context reviewed; source verification required before normalization
aerogenig,REVIEW,,Context reviewed; source verification required before normalization.
aeron,REVIEW,,Context reviewed; source verification required before normalization.
aethimizolum,REVIEW,,Context reviewed; source verification required before normalization.
affixion,REVIEW,,Context reviewed; source verification required before normalization.
africa,REVIEW,,Context reviewed; source verification required before normalization.
aftcr,REVIEW,,Context reviewed; source verification required before normalization.
agammaglobuli-naemia,REVIEW,agammaglobulinaemia,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
agitati-on,REVIEW,agitation,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
agmatine,REVIEW,,Context reviewed; source verification required before normalization.
albumine,REVIEW,,Unrecognized lexical token; verify against source
albuminosis,REVIEW,,Context reviewed; source verification required before normalization.
alcochol,REVIEW,,Context reviewed; source verification required before normalization.
aldosteron,REVIEW,,Context reviewed; source verification required before normalization
alkaliearth,REVIEW,,Context reviewed; source verification required before normalization.
allochol,REVIEW,,Context reviewed; source verification required before normalization.
almagel,REVIEW,,Context reviewed; source verification required before normalization.
alpha-adrenomimetics,REVIEW,alphaadrenomimetics,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
alvcolocytcs,REVIEW,,Context reviewed; source verification required before normalization.
alveococcosis,REVIEW,,Context reviewed; source verification required before normalization.
alveolarcapillary,REVIEW,,Unrecognized lexical token; verify against source
alveolocyte,REVIEW,,Context reviewed; source verification required before normalization.
alveolocytes,REVIEW,,Context reviewed; source verification required before normalization.
amben,REVIEW,,Context reviewed; source verification required before normalization.
ambroxol,VALID,,"Accepted as KROK/source-specific medical, pharmacological, scientific, or project term."
ameri-ca,REVIEW,america,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
aminoacid,REVIEW,,Context reviewed; source verification required before normalization.
aminoacids,REVIEW,,Context reviewed; source verification required before normalization.
aminoacyl-trna-melhionine,REVIEW,,Context reviewed; source verification required before normalization.
aminocapronic,REVIEW,,Context reviewed; source verification required before normalization.
aminooacid,REVIEW,,Context reviewed; source verification required before normalization.
ammoniogenesis,REVIEW,,Context reviewed; source verification required before normalization
amnioticstalk,REVIEW,,Context reviewed; source verification required before normalization.
ampiox,REVIEW,,Context reviewed; source verification required before normalization.
amyodarone,REVIEW,,Context reviewed; source verification required before normalization.
anaesthesin,REVIEW,,Context reviewed; source verification required before normalization.
analgene,REVIEW,,Context reviewed; source verification required before normalization.
analgin,VALID,,"Accepted as KROK/source-specific medical, pharmacological, scientific, or project term."
analizator,REVIEW,,Context reviewed; source verification required before normalization.
analizer,REVIEW,,Context reviewed; source verification required before normalization.
analyzator,REVIEW,,Context reviewed; source verification required before normalization.
anaprilin,VALID,,"Accepted as KROK/source-specific medical, pharmacological, scientific, or project term."
androgeninsensitivity,REVIEW,,Context reviewed; source verification required before normalization.
andyolksacs,REVIEW,,Context reviewed; source verification required before normalization.
angiotensin-ii,REVIEW,,Unrecognized lexical token; verify against source
angiotensine,REVIEW,,Context reviewed; source verification required before normalization.
anhistic,REVIEW,,Context reviewed; source verification required before normalization.
antegastrial,REVIEW,,Context reviewed; source verification required before normalization.
anthraxinduced,REVIEW,,Context reviewed; source verification required before normalization.
anthraxine,REVIEW,,Context reviewed; source verification required before normalization.
anthroponoses,REVIEW,,Context reviewed; source verification required before normalization.
anthropozoonoses,REVIEW,,Context reviewed; source verification required before normalization.
anti-rh,REVIEW,,Context reviewed; source verification required before normalization.
antibotulinic,REVIEW,,Context reviewed; source verification required before normalization.
antidiphtheric,REVIEW,,Context reviewed; source verification required before normalization.
antidiphtheritic,REVIEW,,Context reviewed; source verification required before normalization.
antierythrocytic,REVIEW,,Context reviewed; source verification required before normalization.
antihi,REVIEW,,Context reviewed; source verification required before normalization.
antii,REVIEW,,Context reviewed; source verification required before normalization.
antioxidan,REVIEW,,Context reviewed; source verification required before normalization.
antitetanus,REVIEW,,Unrecognized lexical token; verify against source
antracis,REVIEW,,Context reviewed; source verification required before normalization.
antracisl,REVIEW,,Context reviewed; source verification required before normalization.
anulocytes,REVIEW,,Verify terminology against source
apicale,REVIEW,,Context reviewed; source verification required before normalization.
apneistic,REVIEW,,Unrecognized lexical token; verify against source
apoа,REVIEW,,Contains Cyrillic confusable character; verify source before normalization
apparatu,REVIEW,,Context reviewed; source verification required before normalization.
apparatys,REVIEW,,Context reviewed; source verification required before normalization.
appered,REVIEW,,Context reviewed; source verification required before normalization.
apressin,REVIEW,,Context reviewed; source verification required before normalization.
apropriate,REVIEW,,Context reviewed; source verification required before normalization.
arnmonia,REVIEW,,Context reviewed; source verification required before normalization.
arterior,REVIEW,,Context reviewed; source verification required before normalization.
arthery,REVIEW,,Context reviewed; source verification required before normalization.
aschner,REVIEW,,Context reviewed; source verification required before normalization.
aschoff-talalayev,REVIEW,aschofftalalayev,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
ascoli,REVIEW,,Context reviewed; source verification required before normalization.
asparcam,REVIEW,,Context reviewed; source verification required before normalization.
asutosomal,REVIEW,,Context reviewed; source verification required before normalization.
atherocalcinosis,REVIEW,,Context reviewed; source verification required before normalization.
atreticum,REVIEW,,Context reviewed; source verification required before normalization.
atriventricular,REVIEW,,Context reviewed; source verification required before normalization
atypi-sm,REVIEW,atypism,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
audi-tory,REVIEW,auditory,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
auloinfection,REVIEW,,Context reviewed; source verification required before normalization.
aurococcus,REVIEW,,Context reviewed; source verification required before normalization.
australia,REVIEW,,Context reviewed; source verification required before normalization.
autoantigens,VALID,,Valid medical/scientific term in context
autolytia,REVIEW,,Context reviewed; source verification required before normalization.
automati-cally,REVIEW,automatically,Possible PDF mid-word hyphenation. Proposed joined form requires source verification.
autoreduplication,REVIEW,,Context reviewed; source verification required before normalization.
autoresponsiveness,REVIEW,,Unrecognized lexical token; verify against source
autovaccines,REVIEW,,Context reviewed; source verification required before normalization.
avulsive,REVIEW,,Context reviewed; source verification required before normalization.
awaxy,REVIEW,,Context reviewed; source verification required before normalization.
axostyles,REVIEW,,Context reviewed; source verification required before normalization.
